Title,Location,Price,Bedrooms,Bathrooms,Toilets,Agent,DateAdded,ImageURL,URL
Newly Built And Smart 5 Bedroom Detached Duplex In A Gated Estate,"Lekki Phase 1, Lekki, Lagos","₦1,100,000,000",5 Bed,6 Bath,6 Toilet,"De Itj Realty Company

  09035137760",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2905359/068408ba0ac3c9-newly-built-nd-smart-5bed-detached-duplex-in-a-gated-estate-detached-duplexes-for-sale-lekki-phase-1-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/lekki-phase-1/2905359-newly-built-and-smart-5-bedroom-detached-duplex-in-a-gated-estate
Massive 4 Bedroom Detached Duplex With Bq,"Orchid Road Lekki Lagos, Lekki, Lagos","₦270,000,000",4 Bed,4 Bath,4 Toilet,"Cnl Homes Ltd

  07034465109",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922824/0684ed3c4897c3-massive-4-bedroom-detached-duplex-with-bq-detached-duplexes-for-sale-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/2922824-massive-4-bedroom-detached-duplex-with-bq
Gorgeous 4 Bedroom Semi Detached Duplex,"Chevron Drive, Lekki, Lagos","₦200,000,000",4 Bed,,,"Makseedhomes.realtornigeria.com

  08083843273",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922822/0684ed1f13f3a7-gorgeous-4-bedroom-semi-detached-duplex-semi-detached-duplexes-for-sale-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/2922822-gorgeous-4-bedroom-semi-detached-duplex
"Magnificent 5 Bedroom Fully Detached Duplex With Swimming Pool, Invert","Within A Highly Sought After Estate, Ajah, Lekki, Lagos","₦225,000,000",5 Bed,5 Bath,6 Toilet,"Marketbooy Realty

  08075000582",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922813/0684ecf8a582f1-magnificent-5-bedroom-fully-detached-duplex-with-swimming-pool-invert-detached-duplexes-for-sale-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/2922813-magnificent-5-bedroom-fully-detached-duplex-with-swimming-pool-invert
4 Bedroom Semi Detached,"Lekki Phase1, Lekki, Lagos","₦550,000,000",4 Bed,4 Bath,,"Anthrust Properties

  08034973331",Added Yesterday,https://images.nigeriapropertycentre.com/properties/images/thumbs/2921796/0684daf054ad07-4-bedroom-semi-detached-semi-detached-duplexes-for-sale-lekki-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/2921796-4-bedroom-semi-detached
4 Bedroom Terrace Duplex With Bq,"Paradise 3 Chevron, Lekki, Lagos","₦150,000,000",4 Bed,4 Bath,5 Toilet,"Anthrust Properties

  08034973331",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2918456/0684b32a06f3d8-4-bedroom-terrace-duplex-with-bq-terraced-duplexes-for-sale-lekki-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/2918456-4-bedroom-terrace-duplex-with-bq
Ravishing 4 Bedrooms Terraced Duplex With Bq & Pool In A Serene Area,"Ikate, Lekki, Lagos","₦280,000,000",4 Bed,4 Bath,5 Toilet,"Idealplace_properties

  08136522011",,https://images.nigeriapropertycentre.com/properties/images/thumbs/2866992/06823447c0405b-ravishing-4-bedroom-terrace-duplex-w-bq-pool-in-a-serene-area-terraced-duplexes-for-sale-ikate-lekki-lagos.jpg,https://www.nigeriapropertycentre.com/for-sale/houses/terraced-duplexes/lagos/lekki/ikate/2866992-ravishing-4-bedrooms-terraced-duplex-with-bq-pool-in-a-serene-area
Luxury 4 Bedroom Detached Duplex With Bq,"Ikota Lekki Lagos, Ikota, Lekki, Lagos","₦190,000,000",4 Bed,4 Bath,4 Toilet,"Cnl Homes Ltd

  07034465109",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922815/0684ed1385f1f5-luxury-4-bedroom-detached-duplex-with-bq-detached-duplexes-for-sale-ikota-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikota/2922815-luxury-4-bedroom-detached-duplex-with-bq
Decent 4 Bedroom Semi Detached Home,"Ikota, Lekki, Lagos","₦125,000,000",4 Bed,,,"Makseedhomes.realtornigeria.com

  08083843273",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922810/0684ecec3b7df1-decent-4-bedroom-semi-detached-home-semi-detached-duplexes-for-sale-ikota-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ikota/2922810-decent-4-bedroom-semi-detached-home
4 Bedroom Semidetached Duplex With Bq,"Ologolo Lekki Lagos, Ologolo, Lekki, Lagos","₦200,000,000",4 Bed,4 Bath,4 Toilet,"Cnl Homes Ltd

  07034465109",Added Today,https://images.nigeriapropertycentre.com/properties/images/thumbs/2922826/0684ed4c20a16a-4-bedroom-semidetached-duplex-with-bq-semi-detached-duplexes-for-sale-ologolo-lekki-lagos.jpeg,https://www.nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ologolo/2922826-4-bedroom-semidetached-duplex-with-bq
